c_name,d_name,p_name
迪庆藏族自治州,云南省迪庆藏族自治州香格里拉县建塘镇仓房社区,云南省
迪庆藏族自治州,云南省迪庆藏族自治州香格里拉县建塘镇金龙社区,云南省
迪庆藏族自治州,云南省迪庆藏族自治州香格里拉县建塘镇北门社区,云南省
黔南自治州,贵州省黔南自治州都匀市文峰街道龙潭社区,贵州省
黔南自治州,贵州省黔南自治州都匀市广惠街道平桥社区,贵州省
黔南自治州,贵州省黔南布依族苗族自治州都匀市小围寨办事处剑东社区,贵州省
黔南自治州,贵州省黔南布依族苗族自治州都匀市小围寨办事处剑南社区,贵州省
黔南自治州,贵州省黔南布依族苗族自治州都匀市小围寨办事处剑西社区,贵州省
黔南自治州,贵州省黔南州都匀市王司社区,贵州省
黔南自治州,贵州省黔南州都匀市墨阳社区,贵州省
黔南自治州,贵州省黔南州都匀市平浪社区,贵州省
黔南自治州,贵州省黔南自治州都匀市凤城镇南门社区,贵州省
黔南自治州,贵州省黔南州都匀市甘塘社区,贵州省
黔南自治州,贵州省黔南州福泉市陆坪社区,贵州省
黔南自治州,贵州省黔南州福泉市龙昌社区,贵州省
黔南自治州,贵州省黔南州福泉市马场坪区马场坪街道黄丝社区,贵州省
黔南自治州,贵州省黔南州福泉市金南路社区,贵州省
黔南自治州,贵州省黔南自治州福泉市仙桥乡仙桥社区,贵州省
黔南自治州,贵州省黔南自治州福泉市陆坪镇街道社区,贵州省
黔南自治州,贵州省黔南自治州福泉市牛场镇东南街社区,贵州省
黔南自治州,贵州省黔南州荔波县城城东社区,贵州省
黔南自治州,贵州省黔南洲荔波县城南社区,贵州省
黔南自治州,贵州省黔南州荔波县城西社区,贵州省
黔南自治州,贵州省贵定县宝山街道街道南阳社区,贵州省
黔南自治州,贵州省贵定县金南街道办事处迎宾社区,贵州省
黔南自治州,贵州省瓮安县瓮水街道办事处花竹社区,贵州省
黔南自治州,贵州省黔南州瓮安县雍阳街道河滨社区,贵州省
黔南自治州,贵州省黔南州瓮安县雍阳街道城北社区,贵州省
黔南自治州,贵州省黔南自治州独山县麻万镇麻万社区,贵州省
黔南自治州,贵州省黔南自治州独山县百泉镇紫泉社区,贵州省
黔南自治州,贵州省黔南州平塘县金盆街道玉池社区,贵州省
黔南自治州,贵州 省黔南州 罗甸县龙坪镇 城西  社区,贵州省
黔南自治州,贵州省黔南自治州长顺县长寨街道长兴社区,贵州省
黔南自治州,贵州省黔南自治州龙里县冠山街道奋进社区,贵州省
黔南自治州,贵州省黔南自治州龙里县冠山街道西门社区,贵州省
黔南自治州,贵州省黔南州龙里县冠山街道冠山社区,贵州省
黔南自治州,贵州省黔南自治州惠水县涟江街道西山社区,贵州省
黔南自治州,贵州省黔南自治州惠水县涟江街道河滨社区,贵州省
黔南自治州,贵州省黔南自治州惠水县涟江街道凤山社区,贵州省
黔南自治州,贵州省三都水族自治县三合街道尧人山社区居委会,贵州省
黔南自治州,贵州省三都水族自治县三合街道凤凰社区,贵州省
黔南自治州,贵州省黔南自治州三都水族自治县三合街道尧人社区,贵州省
德宏自治州,云南省德宏州瑞丽市友谊社区,云南省
德宏自治州,云南省德宏自治州芒市勐焕街道锦华社区,云南省
德宏自治州,云南省德宏自治州瑞丽市勐卯镇瑞丰社区,云南省
德宏自治州,云南省德宏自治州芒市勐焕街道丙午社区,云南省
德宏自治州,云南省德宏自治州陇川县章凤镇新城社区,云南省
德宏自治州,云南省德宏自治州陇川县章凤镇老街子社区,云南省
怒江傈僳族自治州,云南省怒江傈僳族自治州兰坪白族普米族自治县金顶镇玉屏社区,云南省
黔东南自治州,贵州省黔东南自治州凯里市城西街道未来城社区,贵州省
黔东南自治州,贵州省黔东南自治州黄平县新州镇东方社区,贵州省
黔东南自治州,贵州省黔东南自治州黄平县旧州镇冷水河社区,贵州省
黔东南自治州,贵州省黔东南自治州三穗县八弓镇武笔社区,贵州省
黔东南自治州,贵州省黔东南自治州镇远县舞阳镇东关社区,贵州省
黔东南自治州,贵州省黔东南自治州岑巩县思旸镇舞水社区,贵州省
黔东南自治州,贵州省黔东南自治州剑河县仰阿莎街道城西移民社区,贵州省
黔东南自治州,贵州省黔东南自治州剑河县仰阿莎街道城东社区,贵州省
黔东南自治州,贵州省黔东南自治州台江县台拱街道文昌社区,贵州省
黔东南自治州,贵州省黔东南自治州台江县台拱街道秀眉社区,贵州省
黔东南自治州,贵州省黔东南自治州台江县台拱街道北门湾社区,贵州省
黔东南自治州,贵州省黔东南自治州黎平县德凤街道开泰社区,贵州省
黔东南自治州,贵州省黔东南自治州雷山县东城社区,贵州省
崇左市,广西壮族自治区崇左市江洲区江南街道城西社区,广西壮族自治区
崇左市,广西壮族自治区崇左市凭祥市凭祥镇屏山社区,广西壮族自治区
万盛经济开发区,重庆市万盛经济开发区万东镇新房社区,重庆市
万盛经济开发区,重庆市万盛经济开发区万盛街道万北一社区,重庆市
甘南藏族自治州,甘肃省甘南藏族自治州合作市通钦街道舟曲路社区,甘肃省
甘南藏族自治州,甘肃省甘南藏族自治州卓尼县柳林镇城南社区,甘肃省
甘南藏族自治州,甘肃省甘南藏族自治州卓尼县柳林镇城东社区,甘肃省
甘南藏族自治州,甘肃省甘南藏族自治州碌曲县城西社区,甘肃省
甘南藏族自治州,甘肃省甘南藏族自治州夏河县拉卜楞镇上人民街社区,甘肃省
甘南藏族自治州,甘肃省甘南藏族自治州夏河县拉卜楞镇河南村社区,甘肃省
天门市,湖北省天门市竟陵街道办事处新城社区,湖北省
天门市,湖北省天门市竟陵街鸿渐社区,湖北省
天门市,湖北省天门市蒋湖农场四海社区,湖北省
天门市,湖北省天门市彭市镇彭市社区,湖北省
天门市,湖北省天门市天门经济开发区长湾社区,湖北省
天门市,湖北省天门市天门经济开发区侯口社区,湖北省
天门市,湖北省天门市天门经济开发区接管社区,湖北省
天门市,湖北省天门市天门经济开发区侨乡社区,湖北省
天门市,湖北省天门市天门经济开发区陈方社区,湖北省
天门市,湖北省天门市天门经济开发区群力社区,湖北省
神农架林区,湖北省神农架林区松柏镇狮象坪社区,湖北省
神农架林区,湖北省神农架林区木鱼镇木鱼坪社区,湖北省
神农架林区,湖北省神农架林区新华镇樟树坪社区,湖北省
神农架林区,湖北省神农架林区松柏镇百花坪社区,湖北省
神农架林区,湖北省神农架林区红坪镇红坪社区,湖北省
